player_id,platform,date,country
A19C5407D9D4939E43A80A4BDADC07306AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-02,United States
0BE84C16A45048425B04DDEF0F9CE9A06AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-08,United States
429B971A8AE7725596E402AF452E5B556AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-07,United States
A4594046DD40F1A807FA6FB2787D4AFE6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-31,United States
853294B288C441169E1716077D1707E96AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-07-28,United States
5AB5157B11E22EED8E701C134892766F6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-29,United Kingdom
EF99A569BC9ACFC53BB8761BBBC611656AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-31,United States
18BE7F49F472F2F7C2E80B04C7BB04666AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-07,United States
EE369B285579388A6F44993D87E025A76AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-03,United States
76F5BE7FE47A3BA9153AE8A76328FEE96AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-07,United States
817C0E3B08931A54DABB46EA1B6029586AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-06,United States
67CF8BECD44B47B5B68F0E9567BE3A836AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-04,United States
8A26108D0AEAD182B735E6C5C8EB55416AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-29,United States
9F3155AB2AB33A1AF589ECA39ADCE6F76AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-02,United States
2C9CD3D65CE50D30B70E79F70A63180C6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-05,United Kingdom
FADD1DEACA8E01038FF44F4EB169EE786AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-05,United Kingdom
C66A97B188EA0CC5961C126A758443F56AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-08,Canada
F9C8038763C1FFE0A94F2A109413EA136AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-04,United States
120E1428344A069191BE83E6364853286AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-06,United States
6FE2C7E7628B1E2216E2DFEB3717DFD16AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-02,United States
7F3A5E47572151C29CEC5B3053F5D7E06AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-06,United States
042593BABF68BF4072CA20C36438C3076AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-07,United Kingdom
9A236478CB62C0EC98E71CCFB73D4BCB6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-05,United States
68FC4E51CE3A52A8CC62375D22C7329A6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-30,United States
A419F95770F3AC190F4E156BA1FBD5296AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-28,United States
A44668FD6EFE97029D2DDF3C175D7D306AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-29,United States
E9BE2128E43BD5519EE606FE8712FB3E6AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-01,United States
778403A3C406BC077A3B94E8D47925A86AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-06,United States
DD2533BB1FE742539BCA8D8DF8136F5F6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-07-28,United Kingdom
540D8A6633CD95F65B71B9ABCEB2C0546AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-08,United States
3225429CD8A941F3F317FD50DA8E74546AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-07-30,United States
B6783B0F217CC351C62AB12C553A018F6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-07,United Kingdom
AB58121B73BACD853D7F9188AD14E6DC6AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-08-03,United States
458CA6BBF67876AD345C28344C69D25A6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-06,United States
D3489828E276C694519198737ECE0CEC6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-01,Canada
C77CCB30E34260DC424BEB8B9BF5F13E6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-07,Canada
483759D410E48227DB95F2A23DBEFDD06AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-03,United States
E65BC574B8039789163001611D9486276AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-02,United States
02DA07AC6BE0A14760FE2DAEA96A20F26AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-02,United States
2996E8E5AECFD6C6ECC978BBB15B18B16AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-07,Canada
8916AC47DD42876D135AA0DEA005EE816AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-08-07,Canada
BE59A8331F1D44E65633FF5CDA040C766AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-07-28,United States
CC2855F1A7C94217839E266E9578AE436AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-03,United States
E85155D3A0F75B6BBE38698C6B3266086AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-03,United States
E4654E17E9DF5AE5EBB8F34ED1BE6E8D6AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-04,United States
617D663DEC4D2F718F3D124891C443996AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-07-30,Canada
B14FE5A9CFEB6E9308F6A4F7E66A67406AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-03,United States
35223BEBBDC5EA7475C6BC81A01A9ED46AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-08-03,United States
