player_id,platform,date,country
60EB4673CF32F09D681988722308924B6AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-16,Canada
024D7957F40F4BBC87C46D763D8716D06AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-12,United Kingdom
C04D752A9214DDA470E2B81A443595AA6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-17,United States
8CC7AD38EA783394A4C2409F072CA2986AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-11,United States
6FADF323772766E5BB1F9AD92500159A6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-09,United Kingdom
B2CC1B75FEDC23CACF749B46BE05E9B96AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-19,United States
F2F0ECA80B7BBA4BBF32E536CE670CB06AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-11,United States
3436A2501F1F694E8D14BA6A5C0218606AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-20,United Kingdom
5D5FEA03DE5E1C5E157DAEB8E70890356AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-16,United States
828533B9E43CE0BBBDB5781E3B2F51896AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-14,United States
C8167F0854D5179B7248CBCFB35AB92F6AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-15,United States
B98E1C2ADF4BFCA512FAA3E6454D1F496AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-09-16,United States
81E594D1588CFA52929607FD17B6BF546AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-09-16,United Kingdom
35B85881F696F08F5B88D8DA135DD3D76AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-20,Canada
738AEA8210CC485CF48A49229071EBC76AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-14,United States
0C90C0B566FF70C4DB62C5209F501B166AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-20,United States
1147CE8655F0ABBEC4B958F79F08F4B16AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-10,United Kingdom
F0D3446671B03398A2B9F5F9642BF6E46AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-11,United States
AC04AB241433049AD4654CCA4FD7DC956AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-17,United States
67B81A3E35EF1BA24CA415A23C28EE0E6AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-19,United States
EA7823443770AD492651C51CF27146896AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-11,United States
6FF10E895ABA12597EA7736E42EF17E06AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-10,United Kingdom
A6C19E6693A513A942A3FA56F5E1B6636AA542CB6D0020870CCE3A1312B6F340,Playstation 4,2020-09-13,United States
025EC0F0A1BD8B1DA4D3E1E1883284A46AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-09-13,United States
2F4A43E817B521CA321A43050C0B3F616AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-19,United Kingdom
143F0052AF4FD93F7D9233AEE6C12EBF6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-10,United States
720D92CFDCE141F6015FD01F2077AF686AA542CB6D0020870CCE3A1312B6F340,Windows PC,2020-09-12,United Kingdom
50439996C87CC6C723E47D2C776142ED6AA542CB6D0020870CCE3A1312B6F340,XBox One,2020-09-18,United States
